"buy_drug_list_id","drug_id","num","drug_buy_order_id"
99001,1145923,153,90011
99002,1148337,84,90011
99003,1152183,250,90011
99004,1143964,386,90011
99005,1143653,222,90011
99006,1018005,333,90011
99007,1144761,474,90011
99008,1152062,111,90011
99009,1017743,114,90011
99010,1025122,350,90011
99011,1152095,264,90011
99012,1020685,50,90011
99013,1020612,148,90011
99014,1149967,93,90011
99015,1018285,251,90011
99016,1017688,123,90011
99017,1025950,301,90011
99018,1017740,430,90011
99019,1147655,160,90011
99020,1152115,318,90011
99021,1016116,182,90011
99022,1020488,255,90011
99023,1146262,272,90011
99024,1149452,191,90011
99025,1152156,242,90011
99026,1145469,140,90011
99027,1016779,85,90011
99028,1019173,263,90011
99029,1145451,447,90011
99030,1145879,432,90011
99031,1025108,264,90011
99032,1018219,204,90011
99033,1146514,53,90011
99034,1145665,365,90011
99035,1149179,379,90011
99036,1025076,422,90011
99037,1025500,179,90011
99038,1022405,151,90011
99039,1020521,370,90011
99040,1026025,299,90011
99041,1152734,463,90011
99042,1145614,395,90011
99043,1151904,329,90011
99044,1024869,76,90011
99045,1145350,116,90011
99046,1019178,201,90011
99047,1017797,107,90011
99048,1021780,485,90011
99049,1146549,486,90011
99050,1145000,485,90011
99051,1151972,373,90011
99052,1127974,136,90011
99053,1017451,86,90011
99054,1025772,383,90011
99055,1152004,286,90011
99056,1022281,94,90011
99057,1021841,144,90011
99058,1026349,362,90011
99059,1146107,83,90011
99060,1147456,158,90011
99061,1145391,50,90011
99062,1144308,85,90011
99063,1147560,97,90011
99064,1147852,240,90011
99065,1018035,282,90011
99066,1021973,75,90011
99067,1144639,321,90011
99068,1023169,163,90011
99069,1150645,416,90011
99070,1022308,167,90011
99071,1152065,412,90011
99072,1145549,349,90011
99073,1017665,64,90011
99074,1146146,300,90011
99075,1024769,259,90011
99076,1151942,164,90011
99077,1015790,490,90011
99078,1024527,241,90011
99079,1145643,387,90011
99080,1017964,110,90011
99081,1017677,428,90011
99082,1143604,139,90011
99083,1022412,225,90011
99084,1150644,58,90011
99085,1026259,440,90011
99086,1019273,87,90011
99087,1019039,332,90011
99088,1146812,53,90011
99089,1025079,165,90011
99090,1151997,127,90011
99091,1020499,153,90011
99092,1152034,450,90011
99093,1155251,420,90011
99094,1026350,380,90011
99095,1021783,183,90011
99096,1026131,259,90011
99097,1145719,478,90011
99098,1024873,162,90011
99099,1016781,368,90011
99100,1024766,132,90011
99101,1145607,323,90011
99102,1018166,399,90011
99103,1150642,447,90011
99104,1016186,161,90011
99105,1024975,264,90011
99106,1015673,323,90011
99107,1024981,221,90011
99108,1021084,219,90011
99109,1026612,56,90011
99110,1149451,55,90011
99111,1155675,62,90011
99112,1026168,446,90011
99113,1025882,187,90011
99114,1015676,463,90011
99115,1146726,491,90011
99116,1024856,331,90011
99117,1151985,274,90011
99118,1017663,102,90011
99119,1152258,89,90011
99120,1017812,114,90011
99121,1151957,223,90011
99122,1143667,230,90011
99123,1013677,180,90011
99124,1018275,53,90011
99125,1152361,95,90011
99126,1024806,252,90011
99127,1018148,159,90011
99128,1019172,325,90011
99129,1021793,424,90011
99130,1144426,472,90011
99131,1155210,313,90011
99132,1024859,76,90011
99133,1146177,203,90011
99134,1152100,228,90011
99135,1145422,463,90011
99136,1021756,207,90011
99137,1145442,369,90011
99138,1025361,157,90011
99139,1152262,249,90011
99140,1025078,373,90011
99141,1022081,237,90011
99142,1018120,330,90011
99143,1153036,62,90011
99144,1024703,387,90011
99145,1019243,96,90011
99146,1151982,267,90011
99147,1016328,51,90011
99148,1146806,400,90011
99149,1152029,324,90011
99150,1026323,489,90011
99151,1016693,202,90011
99152,1149887,74,90011
99153,1154262,497,90011
99154,1025036,127,90011
99155,1017678,104,90011
99156,1152048,136,90011
99157,1145327,198,90011
99158,1020498,421,90011
99159,1023273,468,90011
99160,1025060,307,90011
99161,1148183,493,90011
99162,1146274,376,90011
99163,1018192,494,90011
99164,1147347,287,90011
99165,1025211,125,90011
99166,1026044,379,90011
99167,1151985,260,90027
99168,1017451,313,90027
99169,1146726,402,90027
99170,1025950,404,90027
99171,1019178,446,90027
99172,1147347,416,90027
99173,1016128,245,90027
99174,1145327,344,90027
99175,1017665,310,90027
99176,1022493,257,90027
99177,1017648,377,90027
99178,1151972,487,90027
99179,1152258,56,90027
99180,1025076,239,90027
99181,1024869,377,90027
99182,1018120,210,90027
99183,1148500,498,90027
99184,1016133,132,90027
99185,1016693,312,90027
99186,1145451,450,90027
99187,1025079,132,90027
99188,1020498,375,90027
99189,1022405,110,90027
99190,1127974,137,90027
99191,1025084,277,90027
99192,1017663,452,90027
99193,1146514,294,90027
99194,1026168,284,90027
99195,1151904,165,90027
99196,1025108,379,90027
99197,1146549,446,90027
99198,1146806,392,90027
99199,1017677,212,90027
99200,1146274,312,90027
99201,1015834,492,90027
99202,1019243,460,90027
99203,1024769,102,90027
99204,1152156,460,90027
99205,1144308,185,90027
99206,1026120,230,90027
99207,1017740,377,90027
99208,1153036,415,90027
99209,1145000,51,90027
99210,1146793,122,90027
99211,1152034,413,90027
99212,1143667,305,90027
99213,1019039,71,90027
99214,1147456,75,90027
99215,1022412,158,90027
99216,1021973,263,90027
99217,1152048,154,90027
99218,1017797,314,90027
99219,1025361,53,90027
99220,1018219,244,90027
99221,1145549,78,90027
99222,1147460,65,90027
99223,1129112,455,90027
99224,1017964,324,90027
99225,1015759,133,90027
99226,1026323,217,90027
99227,1148173,462,90027
99228,1148183,290,90027
99229,1154262,360,90027
99230,1020612,331,90027
99231,1024806,284,90027
99232,1150644,441,90027
99233,1147560,85,90027
99234,1155251,283,90027
99235,1026612,208,90027
99236,1147852,108,90027
99237,1024703,248,90027
99238,1152017,76,90027
99239,1155675,157,90027
99240,1025036,279,90027
99241,1021756,378,90027
99242,1018075,256,90027
99243,1024766,362,90027
99244,1026044,440,90027
99245,1026185,416,90027
99246,1151997,451,90027
99247,1148337,125,90027
99248,1146262,264,90027
99249,1143562,235,90027
99250,1143604,63,90027
99251,1151942,339,90027
99252,1022081,84,90027
99253,1018285,336,90027
99254,1023273,347,90027
99255,1020513,359,90027
99256,1143653,251,90027
99257,1149887,371,90027
99258,1016186,94,90027
99259,1026350,211,90027
99260,1147655,223,90027
99261,1025331,78,90027
99262,1146177,477,90027
99263,1018166,321,90027
99264,1152029,191,90027
99265,1144426,264,90027
99266,1019172,259,90027
99267,1024527,188,90027
99268,1142020,340,90027
99269,1024873,245,90027
99270,1144789,130,90027
99271,1150645,429,90027
99272,1016154,366,90027
99273,1025772,291,90027
99274,1147989,292,90027
99275,1145442,378,90027
99276,1021780,116,90027
99277,1145607,123,90027
99278,1017743,261,90027
99279,1026272,369,90027
99280,1151982,282,90027
99281,1020521,310,90027
99282,1152734,118,90027
99283,1026288,223,90027
99284,1151957,321,90027
99285,1013677,161,90027
99286,1018148,166,90027
99287,1026025,387,90027
99288,1149179,183,90027
99289,1021783,458,90027
99290,1025078,115,90027
99291,1025122,160,90027
99292,1145422,114,90027
99293,1016328,114,90027
99294,1152100,386,90027
99295,1024981,116,90027
99296,1022308,118,90027
99297,1145719,263,90027
99298,1017754,489,90027
99299,1018035,381,90027
99300,1018005,250,90027
99301,1025086,356,90027
99302,1017812,258,90027
99303,1019273,468,90027
99304,1146146,332,90027
99305,1025882,253,90027
99306,1152095,379,90027
99307,1149451,269,90027
99308,1021084,83,90027
99309,1019173,286,90027
99310,1145230,184,90027
99311,1152062,343,90027
99312,1020488,350,90027
99313,1024882,209,90027
99314,1016116,410,90027
99315,1022281,434,90027
99316,1150441,76,90027
99317,1144639,243,90027
99318,1021837,80,90027
99319,1152065,312,90027
99320,1155210,474,90027
99321,1016779,466,90027
99322,1145923,379,90027
99323,1025500,88,90027
99324,1018275,375,90027
99325,1016781,341,90027
99326,1152004,444,90027
99327,1150642,138,90027
99328,1144761,267,90027
99329,1153376,496,90023
99330,1147553,390,90023
99331,1151923,211,90023
99332,1149838,230,90023
99333,1020486,156,90023
99334,1145455,146,90023
99335,1129091,341,90023
99336,1022277,145,90023
99337,1025846,473,90023
99338,1152035,277,90023
99339,1147420,79,90023
99340,1148144,56,90023
99341,1152370,351,90023
99342,1025937,233,90023
99343,1017930,491,90023
99344,1145552,274,90023
99345,1152150,332,90023
99346,1026320,340,90023
99347,1147476,68,90023
99348,1017536,124,90023
99349,1026425,75,90023
99350,1025291,358,90023
99351,1022512,77,90023
99352,1145949,461,90023
99353,1016779,248,90023
99354,1144777,382,90023
99355,1146160,325,90023
99356,1151939,187,90023
99357,1025753,315,90023
99358,1144003,365,90023
99359,1152168,219,90023
99360,1022293,55,90023
99361,1025734,79,90023
99362,1146740,223,90023
99363,1147338,203,90023
99364,1152084,397,90023
99365,1020559,99,90023
99366,1147637,434,90023
99367,1144825,450,90023
99368,1017691,93,90023
99369,1146079,70,90023
99370,1016781,82,90023
99371,1020731,101,90023
99372,1144179,313,90023
99373,1152366,468,90023
99374,1025071,102,90023
99375,1147456,56,90023
99376,1024720,92,90023
99377,1017684,387,90023
99378,1144111,198,90023
99379,1146240,455,90023
99380,1147678,262,90023
99381,1026316,459,90023
99382,1019112,70,90023
99383,1026403,391,90023
99384,1152308,206,90023
99385,1016406,252,90023
99386,1022551,458,90023
99387,1025494,399,90023
99388,1025346,318,90023
99389,1152397,151,90023
99390,1144757,171,90023
99391,1025083,495,90023
99392,1021881,390,90023
99393,1025083,129,90031
99394,1145552,153,90031
99395,1152124,190,90031
99396,1152084,357,90031
99397,1025117,136,90031
99398,1146565,118,90031
99399,1152370,463,90031
99400,1147553,100,90031
99401,1025734,313,90031
99402,1147493,53,90031
99403,1152053,94,90031
99404,1146160,393,90031
99405,1152150,191,90031
99406,1017817,428,90031
99407,1026403,136,90031
99408,1129091,482,90031
99409,1146144,500,90031
99410,1146740,305,90031
99411,1026221,219,90031
99412,1024826,406,90031
99413,1149838,337,90031
99414,1019173,391,90031
99415,1146686,50,90031
99416,1148144,295,90031
99417,1022782,455,90031
99418,1016781,198,90031
99419,1147492,76,90031
99420,1144010,273,90031
99421,1144003,495,90031
99422,1025071,460,90031
99423,1020559,128,90031
99424,1024720,68,90031
99425,1024903,194,90031
99426,1025312,91,90031
99427,1153486,182,90031
99428,1025102,316,90031
99429,1151923,87,90031
99430,1147342,69,90031
99431,1148202,294,90031
99432,1144757,280,90031
99433,1025494,157,90031
99434,1025944,229,90031
